Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Düz,Otomatik,Yarı Otomatik,Benzin,Dizel,Hibrit,LPG & Benzin,Coupe,Hatchback/3,Hatchback/5,MPV,Roadster,Sedan,Arkadan İtiş,Önden Çekiş,-,Takasa Uygun,Takasa Uygun Değil,Galeriden,Sahibinden,Yetkili Bayiden
260000,ADANA ,20637830,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Dream,2011,190000,1595,125,6.9,50,Tamamı boyalı,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
745000,BİLECİK ,20637965,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2021,14000,1597,125,6.3,46,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
265000,TOKAT ,20637421,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ES,2006,220000,1590,110,7.0,50,"1 değişen, 7 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
310000,KOCAELİ ,20638172,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Dream,2011,125000,1595,125,6.9,50,Belirtilmemiş,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
379500,KİLİS ,20624088,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2016,198500,1595,125,6.7,50,"1 değişen, 4 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
777500,KİLİS ,20566747,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2020,7500,1597,125,6.3,46,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
347000,ANKARA ,20640858,29 Temmuz 2022,Honda,Civic,1.4 Sport,2011,131000,1339,100,5.7,50,Tamamı orjinal,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
282000,İZMİR ,20640840,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Dream,2008,169000,1595,125,6.7,50,4 boyalı,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
320000,ANTALYA ,20640335,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2008,186000,1595,125,7.1,50,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
585000,İSTANBUL ,20640322,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2017,114000,1597,125,6.7,47,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
419999,ANKARA ,20640135,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2014,223000,1595,125,6.7,50,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
300000,KONYA ,20074002,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2009,190000,1595,125,6.7,50,"1 değişen, 4 boyalı",1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
299900,İZMİR ,20639390,28 Temmuz 2022,Honda,City,1.4 ES,2011,84562,1339,100,6.4,42,5 boyalı,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
335000,ÇORUM ,20638213,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2011,218000,1595,125,7.1,50,"2 değişen, 6 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
247500,VAN ,20197836,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC LS,2005,182000,1590,110,6.5,50,"2 değişen, 3 boyalı",1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
453000,DİYARBAKIR ,19458016,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2014,159000,1595,125,6.7,50,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
265000,MUĞLA ,20637610,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2007,339000,1595,125,7.1,50,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
520000,ANTALYA ,20201196,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Premium,2014,126000,1598,125,6.7,50,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
325000,SAKARYA ,20637178,28 Temmuz 2022,Honda,Jazz,1.4 Fun,2011,98000,1339,100,5.5,42,Tamamı orjinal,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
190000,VAN ,20637120,28 Temmuz 2022,Honda,City,1.4 Elite,2007,181000,1339,83,5.7,42,"5 değişen, 5 boyalı",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
662000,İSTANBUL ,20183742,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2021,20500,1597,125,6.3,46,Tamamı orjinal,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
316000,MERSİN ,20636901,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2008,219000,1595,125,7.1,50,7 boyalı,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
218000,ADANA ,20214463,28 Temmuz 2022,Honda,Jazz,1.4 LS,2005,225150,1339,83,5.8,42,Tamamı orjinal,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
385000,SAMSUN ,20636936,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2012,160000,1595,125,6.7,50,2 boyalı,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
215000,HATAY ,20636895,28 Temmuz 2022,Honda,Civic,1.6 LS,2005,296000,1590,110,6.7,50,"3 değişen, 6 boyalı",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
700000,AĞRI ,18619153,28 Temmuz 2022,Honda,Civic,1.5 i-VTEC RS,2017,100000,1498,182,6.0,46,Belirtilmemiş,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
735000,SAMSUN ,20636661,28 Temmuz 2022,Honda,Civic,1.5 i-VTEC Eco Premium,2021,2600,1498,129,6.5,47,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
260000,SAMSUN ,20636518,28 Temmuz 2022,Honda,Jazz,1.4 Joy,2010,115000,1339,100,5.4,42,2 değişen,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
770000,KOCAELİ ,20636791,28 Temmuz 2022,Honda,Civic,1.5 i-VTEC Executive Plus,2020,23000,1498,182,5.7,46,Tamamı orjinal,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
449500,KOCAELİ ,20636418,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2013,149000,1595,125,6.7,50,"1 değişen, 2 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
610000,KONYA ,20636599,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2018,94000,1597,125,6.7,47,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
168000,İSTANBUL ,20636460,28 Temmuz 2022,Honda,Civic,1.4 S,1998,264000,1396,90,6.8,45,Tamamı boyalı,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
285000,GAZİANTEP ,19194024,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Premium,2010,321000,1595,125,6.7,50,2 boyalı,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
699000,İSTANBUL ,20403386,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2020,59000,1597,125,6.3,46,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
