Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Düz,Otomatik,Yarı Otomatik,Benzin,Dizel,LPG & Benzin,-,Hatchback/3,Hatchback/5,MPV,SUV,Sedan,Station wagon,Önden Çekiş,-.1,Takasa Uygun,Takasa Uygun Değil,Galeriden,Sahibinden,Yetkili Bayiden,Coupe,4WD (Sürekli),Hibrit,Arkadan İtiş,Roadster
252500,İZMİR ,20592244,29 Temmuz 2022,Fiat,Linea,1.3 Multijet Pop,2015,160000,1248,95,4.9,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
385000,GAZİANTEP ,20641526,29 Temmuz 2022,Fiat,Egea,1.3 Multijet Urban,2018,89000,1248,95,4.1,45,Tamamı orjinal,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
115000,ESKİŞEHİR ,20639030,29 Temmuz 2022,Fiat,Siena,1.2 EL,2001,130000,1242,74,0.0,51,Belirtilmemiş,1,0,0,1,0,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
79750,KONYA ,20639453,29 Temmuz 2022,Fiat,Uno,70 SX,1998,188000,1372,71,0.0,42,2 değişen,1,0,0,0,0,1,0,0,1,0,0.0,0,0.0,1,0.0,0,1,0,1,0,,,,,
337000,SİİRT ,20638303,29 Temmuz 2022,Fiat,Egea,1.3 Multijet Easy,2017,99950,1248,95,4.1,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
270000,GAZİANTEP ,20637955,29 Temmuz 2022,Fiat,Punto,1.4 Popstar S&S,2014,69800,1368,77,5.7,45,Tamamı orjinal,1,0,0,1,0,0,0,0,1,0,0.0,0,0.0,1,0.0,0,1,0,1,0,,,,,
155000,ELAZIĞ ,20639354,29 Temmuz 2022,Fiat,Albea,1.2 EL,2004,203000,1242,80,7.0,47,2 boyalı,1,0,0,0,0,1,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
340000,ERZURUM ,20637679,29 Temmuz 2022,Fiat,Egea,1.4 Fire Urban,2019,131000,1368,95,5.7,45,Belirtilmemiş,1,0,0,0,0,1,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
110500,ANKARA ,20637355,29 Temmuz 2022,Fiat,Bravo,1.6 SX,2001,252500,1581,103,7.7,50,Belirtilmemiş,1,0,0,0,0,1,0,1,0,0,0.0,0,0.0,1,0.0,0,1,0,1,0,,,,,
290000,BURSA ,20640947,29 Temmuz 2022,Fiat,Linea,1.3 Multijet Pop,2017,95200,1248,95,4.9,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
